wavelength,fluxE-26
5051.14,1.68201
5052.73,1.61873
5054.32,1.63187
5055.91,1.6335
5057.50,1.61291
5059.09,1.61443
5060.68,1.61601
5062.27,1.65843
5063.86,1.65781
5065.45,1.66113
5067.04,1.64244
5068.63,1.6283
5070.22,1.63252
5071.81,1.66263
5073.40,1.64753
5074.99,1.64662
5076.58,1.65495
5078.17,1.63555
5079.76,1.64663
5081.35,1.64482
5082.94,1.61379
5084.54,1.65449
5086.12,1.64863
5087.72,1.65748
5089.31,1.61824
5090.90,1.63497
5092.49,1.62378
5094.08,1.63481
5095.67,1.65452
5097.26,1.67341
5098.85,1.6659
5100.44,1.66386
5102.03,1.63762
5103.62,1.6157
5105.21,1.63852
5106.80,1.64298
5108.39,1.63357
5109.98,1.63978
5111.57,1.6252
5113.16,1.63734
5114.75,1.64795
5116.34,1.64174
5117.93,1.64631
5119.52,1.62833
5121.11,1.63964
5122.70,1.66568
5124.29,1.6752
5125.88,1.61361
5127.47,1.62417
5129.06,1.6144
5130.65,1.66214
5132.24,1.62928
5133.83,1.60875
5135.42,1.64034
5137.01,1.63916
5138.60,1.64227
5140.19,1.61001
5141.78,1.62422
5143.37,1.64867
5144.96,1.67381
5146.55,1.6414
5148.14,1.64937
5149.73,1.63286
5151.32,1.68014
5152.91,1.658
5154.50,1.62618
5156.09,1.64345
5157.68,1.65727
5159.27,1.65645
5160.86,1.6266
5162.45,1.63513
5164.04,1.63085
5165.63,1.62994
5167.22,1.60632
5168.81,1.60781
5170.40,1.66745
5171.99,1.61978
5173.58,1.62605
5175.17,1.62066
5176.76,1.64474
5178.35,1.65266
5179.94,1.62151
5181.53,1.64855
5183.12,1.59868
5184.71,1.65284
5186.30,1.66939
5187.89,1.62904
5189.48,1.61796
5191.07,1.63576
5192.67,1.60769
5194.26,1.62359
5195.85,1.62647
5197.44,1.63602
5199.03,1.6122
5200.62,1.59642
5202.21,1.63128
5203.80,1.6247
5205.39,1.60467
5206.98,1.59357
5208.57,1.63083
5210.16,1.62343
5211.75,1.58147
5213.34,1.60394
5214.93,1.62641
5216.52,1.62215
5218.11,1.60381
5219.70,1.60655
5221.29,1.61551
5222.88,1.60442
5224.47,1.64999
5226.06,1.63293
5227.65,1.62981
5229.24,1.63792
5230.83,1.60876
5232.42,1.64377
5234.01,1.62988
5235.60,1.63093
5237.19,1.60371
5238.78,1.60444
5240.37,1.60952
5241.96,1.59974
5243.55,1.60047
5245.14,1.63095
5246.73,1.62167
5248.32,1.58854
5249.91,1.58889
5251.50,1.56723
5253.09,1.58355
5254.68,1.60426
5256.27,1.5919
5257.86,1.60305
5259.45,1.59637
5261.04,1.59547
5262.63,1.60171
5264.22,1.61099
5265.81,1.57863
5267.40,1.59578
5268.99,1.59646
5270.58,1.59822
5272.17,1.60427
5273.76,1.58384
5275.35,1.58065
5276.94,1.56854
5278.53,1.61959
5280.12,1.62337
5281.71,1.59982
5283.30,1.58816
5284.89,1.56666
5286.48,1.56639
5288.07,1.60565
5289.66,1.55248
5291.25,1.53978
5292.84,1.58361
5294.43,1.58262
5296.02,1.55654
5297.61,1.59272
5299.21,1.58845
