wave,fluxE10
6529.7,43.361
6532.53,43.5464
6535.36,43.3513
6538.19,42.9238
6541.02,42.3986
6543.85,41.7942
6546.68,41.1575
6549.51,40.4948
6552.34,39.675
6555.18,38.5593
6558.01,37.2408
6560.84,35.9656
6563.67,35.0643
6566.5,34.9699
6569.33,35.7426
6572.16,36.9219
6574.99,38.1652
6577.82,39.322
6580.65,40.178
6583.48,40.6266
6586.31,40.7451
6589.14,40.6803
6591.97,40.6096
6594.8,40.6191
6597.63,40.5625
6600.46,40.351
6603.3,40.2261
6606.13,40.3669
6608.96,40.6294
6611.79,40.8572
6614.62,40.94
6617.45,40.826
6620.28,40.6271
6623.11,40.3961
6625.94,40.1309
6628.77,39.8712
6631.6,39.6108
6634.43,39.3497
6637.26,39.1219
6640.09,38.8907
6642.92,38.5485
6645.75,38.1023
6648.58,37.6501
6651.42,37.2738
6654.25,37.0506
6657.08,36.9791
6659.91,37.0084
6662.74,37.129
6665.57,37.3165
6668.4,37.3677
6671.23,37.0878
6674.06,36.5916
6676.89,36.0963
6679.72,35.8195
6682.55,35.8553
6685.38,35.9564
6688.21,35.9939
6691.04,36.2077
6693.87,36.6195
6696.7,36.9332
6699.54,36.9707
6702.37,36.6664
6705.2,36.0948
6708.03,35.4494
6710.86,34.8521
6713.69,34.3778
6716.52,34.093
6719.35,34.0589
6722.18,34.2116
6725.01,34.4128
6727.84,34.573
6730.67,34.6367
6733.5,34.6436
6736.33,34.6711
6739.16,34.7506
6741.99,34.8874
6744.82,35.0947
6747.66,35.3903
6750.49,35.7467
6753.32,36.1285
6756.15,36.4985
6758.98,36.7799
6761.81,36.9533
6764.64,37.1599
6767.47,37.5933
6770.3,38.1721
6773.13,38.5362
6775.96,38.4637
6778.79,37.9914
6781.62,37.3851
6784.45,36.9568
6787.28,36.843
6790.11,37.0966
6792.94,37.6004
6795.78,38.147
6798.61,38.6406
6801.44,39.0391
6804.27,39.4151
6807.1,39.8546
6809.93,40.2546
6812.76,40.5169
6815.59,40.6928
6818.42,40.8158
6821.25,40.898
6824.08,40.9913
6826.91,41.0827
6829.74,41.1537
6832.57,41.3129
6835.4,41.6047
6838.23,41.9156
6841.06,42.1552
6843.9,42.2449
6846.73,42.0448
6849.56,41.4969
6852.39,40.8664
6855.22,40.5646
6858.05,40.6547
6860.88,40.9105
6863.71,41.3692
6866.54,42.1692
6869.37,43.1525
6872.2,44.1809
6875.03,45.0232
6877.86,45.4248
6880.69,45.6089
6883.52,45.9041
6886.35,46.2136
6889.18,46.3977
6892.02,46.4901
6894.85,46.4899
6897.68,46.4848
6900.51,46.7458
6903.34,47.629
6906.17,48.8882
6909,49.5678
6911.83,49.3432
6914.66,48.666
6917.49,47.9606
6920.32,47.4195
6923.15,47.0719
6925.98,46.9575
6928.81,46.9966
6931.64,47.0378
6934.47,47.1254
6937.3,47.3261
6940.14,47.5676
6942.97,47.806
6945.8,48.1162
6948.63,48.5486
6951.46,49.0644
6954.29,49.648
6957.12,50.3923
6959.95,51.2966
6962.78,52.0631
6965.61,52.4223
6968.44,52.4122
6971.27,52.1954
6974.1,51.8971
6976.93,51.6927
6979.76,51.7884
6982.59,52.1225
6985.42,52.4291
6988.26,52.5052
6991.09,52.24
6993.92,51.7789
6996.75,51.42
6999.58,51.316
7002.41,51.5767
7005.24,52.163
7008.07,52.7365
7010.9,53.1233
7013.73,53.4029
7016.56,53.395
7019.39,53.0699
7022.22,52.9813
7025.05,53.4059
7027.88,54.0674
7030.71,54.7248
7033.54,55.1962
7036.38,55.3864
7039.21,55.4492
7042.04,55.273
7044.87,54.3688
7047.7,52.5904
7050.53,50.07
7053.36,47.1829
7056.19,44.5373
7059.02,42.5065
7061.85,41.3173
7064.68,40.971
7067.51,41.2448
7070.34,41.8502
7073.17,42.4589
7076,42.7796
7078.83,42.6234
7081.66,41.875
7084.5,40.4953
7087.33,38.828
7090.16,37.3501
7092.99,36.3178
7095.82,35.8228
7098.65,35.8625
7101.48,36.3384
7104.31,36.9807
7107.14,37.5939
7109.97,38.1425
7112.8,38.5199
7115.63,38.5602
7118.46,38.1712
7121.29,37.3675
7124.12,36.3436
7126.95,35.3391
7129.78,34.52
7132.62,34.0202
7135.45,33.8764
7138.28,34.0968
7141.11,34.5491
7143.94,35.0292
7146.77,35.5928
7149.6,36.2806
7152.43,36.8319
7155.26,37.0842
7158.09,37.1054
7160.92,37.0104
7163.75,36.9943
7166.58,37.1753
7169.41,37.572
7172.24,38.1167
7175.07,38.6063
7177.9,38.9485
7180.74,39.1512
7183.57,39.2465
7186.4,39.3546
7189.23,39.5105
7192.06,39.6553
7194.89,39.7925
7197.72,39.9516
7200.55,40.1448
7203.38,40.385
7206.21,40.7054
7209.04,41.1338
7211.87,41.6476
7214.7,42.2561
7217.53,42.9596
7220.36,43.681
7223.19,44.2741
7226.02,44.6419
7228.86,44.9203
7231.69,45.241
7234.52,45.58
7237.35,45.9324
7240.18,46.4659
7243.01,47.1951
7245.84,47.7868
7248.67,48.1554
7251.5,48.4668
7254.33,48.889
7257.16,49.5918
7259.99,50.3495
7262.82,50.7761
7265.65,50.909
7268.48,50.9399
7271.31,50.9929
7274.14,51.1691
7276.98,51.3712
7279.81,51.423
7282.64,51.2772
7285.47,51.1163
7288.3,51.4356
